ORDEN,SKU,MARKETING,ACTUALIZACIONES,ACTUALIZADO,VENTAS_ACUMULADAS,PRICE,LANZAMIENTO,CANTIDAD,PRECIO_MIN,SD_PRECIO,VENTA_ALTA
3439,199238,D,1,0,1365914,120.0,2005,17,51.99,36.98,0
12125,2249927,D,2,1,2722524,57.98,2007,43,75.17,30.0,0
81924,609584,S,2,1,3315048,155.95,2005,27,92.57,4.0,0
19920,656804,D,4,1,135666,90.95,2006,11,92.55,86.45,0
44411,830592,S,5,1,2010952,62.95,1998,16,83.39,69.59,0
59711,172416,S,0,0,773388,14.2,2004,39,209.09,12.24,0
61894,420929,S,4,1,6676179,100.0,2001,46,103.65,7.68,0
61444,1587010,S,2,1,234629,64.99,2015,9,58.79,63.04,0
5886,540699,D,4,1,6169,160.0,2013,104,61.98,47.8,1
12932,299235,D,2,1,1421994,139.95,1997,32,88.94,97.73,1
47674,657328,S,4,1,1788260,59.95,2012,12,39.07,38.98,0
35002,55418,D,5,1,454597,240.95,2010,74,118.82,48.55,0
15258,53994,D,18,1,53116,179.95,2008,148,152.58,46.8,1
18060,874280,D,2,1,838739,92.95,2008,41,29.46,16.0,0
71683,881412,S,5,1,16383,49.95,2015,49,51.98,34.96,0
7237,533787,D,5,1,13365,161.4,2012,101,118.84,38.33,1
35398,2052286,D,0,0,1506174,59.95,2007,26,44.61,45.63,0
13027,758247,D,1,0,877945,16.99,2007,38,100.9,24.99,0
6641,120739,D,1,0,1521574,146.4,2009,50,92.99,8.74,0
29374,625246,D,1,0,1200634,140.0,2010,22,0.0,0.0,0
8536,533071,D,5,1,233965,171.5,2011,43,225.63,76.65,0
66870,880155,S,7,1,966301,166.28,2010,13,122.74,166.28,0
35848,288330,D,10,1,63136,23.4,2010,81,52.16,16.99,1
55542,638039,S,0,0,656489,95.0,1986,25,143.99,48.21,0
55725,911959,S,2,1,1952178,139.2,1999,24,0.0,21.49,0
21444,366751,D,1,0,639267,188.95,2006,23,172.1,55.37,0
11279,903906,D,0,0,764703,26.0,1955,14,36.25,23.41,0
80306,612974,S,13,1,822741,38.95,2007,114,13.74,8.58,1
19418,2722045,D,1,0,5434288,117.0,2000,16,132.92,84.73,0
42833,365051,S,2,1,5910317,31.95,1995,20,35.89,48.15,0
53139,591630,S,3,1,4759684,37.95,2005,19,29.74,47.93,0
58138,202215,S,4,1,1112532,182.95,2000,62,50.19,22.89,0
